admin city, number of city, pop 
Istanbul,20,15154000
Ankara,40,5751356
Izmir,46,5708368
Bursa,27,3169551
Antalya,34,2888632
Konya,56,2435302
Adana,24,2350620
Gaziantep,14,2249062
Sanliurfa,31,2382541
Mersin,22,2228085
Diyarbakir,32,1844693
Kayseri,28,1586793
Samsun,25,1433168
Tekirdag,18,1435544
Denizli,23,963464
Eskisehir,16,871187
Trabzon,24,878028
Erzurum,42,767848
Malatya,23,461574
Batman,13,447106
Kahramanmaras,19,444034
Elazig,24,421726
Hatay,26,1103565
Sivas,44,393938
Kocaeli,18,821158
Van,21,452095
Balikesir,48,513888
Adiyaman,26,304615
Afyonkarahisar,23,352566
Aksaray,12,306235
Corum,18,311332
Kutahya,17,266784
Osmaniye,10,408553
Sakarya,21,260109
Isparta,17,258375
Mardin,18,507290
Usak,7,264999
Manisa,28,677737
Duzce,9,240633
Nigde,9,284624
Bolu,11,205525
Tokat,23,215629
Kirikkale,9,196645
Karaman,12,194018
Mus,17,219143
Aydin,28,425126
Canakkale,33,223303
Edirne,19,269310
Zonguldak,14,437882
Siirt,15,166332
Bingol,16,160165
Mugla,28,353551
Erzincan,26,157452
Ordu,25,281819
Bartin,7,155016
Kirsehir,10,168246
Agri,15,393284
Amasya,18,149084
Kastamonu,24,148931
Kirklareli,17,250946
Yalova,7,144407
Nevsehir,13,143194
Sirnak,11,236555
Rize,16,158045
Igdir,4,137613
Giresun,18,149875
Karabuk,7,153614
Kilis,4,116034
Burdur,13,178020
Kars,13,123245
Yozgat,20,138177
Cankiri,14,96025
Bilecik,11,81723
Hakkari,9,81424
Bitlis,19,144723
Bayburt,4,66633
Sinop,13,100313
Gumushane,8,57269
Ardahan,12,42226
Tunceli,28,45502
Artvin,21,67702
